participant_id,age,gender,education,news_source,daily_news_minutes,political_interest,income_bracket,trust_score,credibility_rating
P001,30,Female,Bachelor's,Facebook,112,5,$75k-$100k,1.5,3.1
P002,29,Female,Bachelor's,Online News Sites,75,3,Under $25k,1,1
P003,53,Male,Bachelor's,Online News Sites,169,3,$75k-$100k,4.7,6.4
P004,43,Prefer not to say,High School,Instagram,114,4,Under $25k,3.3,5
P005,18,Female,Bachelor's,YouTube,55,3,$50k-$75k,2.5,4.1
P006,40,Male,Bachelor's,YouTube,29,5,Under $25k,5,7
P007,27,Male,PhD,Podcasts,42,2,$50k-$75k,4.7,5.7
P008,30,Female,PhD,Instagram,177,2,$75k-$100k,4.3,6.4
P009,66,Male,High School,Instagram,91,4,$25k-$50k,4.7,4.8
P010,29,Male,Bachelor's,Podcasts,170,4,$25k-$50k,7,7
P011,21,Female,Some College,Facebook,133,5,Under $25k,3.7,3.7
P012,44,Female,Bachelor's,Instagram,173,5,$50k-$75k,3.1,3.7
P013,40,Female,High School,YouTube,34,4,$75k-$100k,2,2.4
P014,70,Female,Bachelor's,Online News Sites,34,3,$75k-$100k,5.1,6
P015,40,Male,Some College,Online News Sites,133,4,$25k-$50k,4.6,6.1
P016,28,Male,Some College,YouTube,26,1,$25k-$50k,2.2,3
P017,48,Male,Some College,Newspapers,47,5,$75k-$100k,3.7,4.7
P018,31,Female,Master's,Facebook,134,7,Under $25k,2.3,2.7
P019,54,Male,Some College,Online News Sites,95,6,$25k-$50k,3.4,3.4
P020,49,Female,Some College,Online News Sites,54,6,$50k-$75k,4.4,5.1
P021,46,Female,Bachelor's,YouTube,134,3,Under $25k,5,4.5
P022,50,Non-binary,Master's,Podcasts,60,5,$50k-$75k,5.3,6.1
P023,42,Female,Master's,Television,13,7,Under $25k,2.2,1.8
P024,71,Female,High School,Television,95,7,Under $25k,6.2,6.9
P025,41,Female,Bachelor's,Television,73,5,$25k-$50k,2.6,2.9
P026,20,Female,High School,Online News Sites,102,4,$75k-$100k,3.1,3.2
P027,63,Male,Some College,Instagram,10,4,$25k-$50k,4.9,4.3
P028,61,Male,Master's,Newspapers,106,4,$75k-$100k,6.6,6.7
P029,68,Male,Master's,Instagram,143,4,Under $25k,5.4,6
P030,67,Male,Master's,Online News Sites,108,4,$75k-$100k,3.1,3.7
P031,33,Male,High School,Facebook,105,5,$75k-$100k,2.7,4.1
P032,20,Female,Bachelor's,Newspapers,173,5,$50k-$75k,1.5,1.4
P033,22,Male,High School,Newspapers,127,3,$50k-$75k,2.9,3.1
P034,69,Male,Some College,Instagram,76,3,$75k-$100k,4.2,3.8
P035,75,Male,Bachelor's,Newspapers,7,5,Under $25k,7,6.8
P036,33,Male,Bachelor's,Newspapers,8,4,$25k-$50k,1.3,1.9
P037,67,Female,Some College,YouTube,117,7,Over $100k,6.6,6.4
P038,66,Male,Bachelor's,Newspapers,176,6,$25k-$50k,4.8,3.5
P039,20,Female,Bachelor's,Online News Sites,146,4,$25k-$50k,1,1
P040,32,Male,Master's,Facebook,145,5,Under $25k,3,1.9
P041,67,Female,High School,Podcasts,96,6,$50k-$75k,3.9,4.5
P042,67,Male,High School,Podcasts,108,3,Under $25k,3.9,4.9
P043,74,Female,Bachelor's,YouTube,173,5,$50k-$75k,5.3,5.9
P044,60,Female,Some College,Twitter,46,4,Over $100k,4.8,4.6
P045,60,Non-binary,Bachelor's,YouTube,137,2,$50k-$75k,5,4.2
P046,66,Male,Some College,Online News Sites,12,7,$75k-$100k,5.2,4.3
P047,63,Female,High School,Instagram,176,6,$25k-$50k,4.3,4.5
P048,21,Non-binary,High School,Instagram,118,5,$75k-$100k,4.1,4
P049,41,Prefer not to say,Bachelor's,YouTube,136,6,$50k-$75k,3.1,5.3
P050,37,Female,Some College,YouTube,67,4,Under $25k,5.4,7
P051,43,Female,Master's,Facebook,97,5,$75k-$100k,1.5,1.7
P052,30,Female,Master's,Twitter,100,5,Over $100k,5.1,5.4
P053,28,Female,Some College,Online News Sites,83,3,$25k-$50k,3.8,3.9
P054,72,Non-binary,High School,YouTube,20,5,$75k-$100k,3.6,5
P055,68,Male,Bachelor's,Facebook,121,5,$75k-$100k,5.5,7
P056,58,Female,Master's,Twitter,158,6,Over $100k,4.1,4.6
P057,44,Male,Bachelor's,Instagram,116,4,Over $100k,4.1,3.1
P058,33,Female,Some College,YouTube,13,6,$25k-$50k,3,3.7
P059,39,Female,Bachelor's,Newspapers,105,1,$75k-$100k,2.8,2.9
P060,65,Male,Bachelor's,Instagram,138,2,Over $100k,5,5.8
P061,35,Male,High School,Instagram,31,4,$25k-$50k,2.7,2.6
P062,34,Male,Some College,YouTube,88,5,$75k-$100k,3.7,5.2
P063,34,Male,Some College,Podcasts,120,7,Over $100k,3.6,4.1
P064,57,Prefer not to say,Some College,Television,101,6,$25k-$50k,4.1,5
P065,42,Female,Bachelor's,Instagram,94,7,Under $25k,4.2,5.6
P066,55,Female,Bachelor's,Facebook,33,4,Under $25k,1.8,4
P067,73,Female,Master's,Twitter,70,5,$50k-$75k,3.9,4.4
P068,67,Female,Bachelor's,Television,83,4,Over $100k,3.4,3.5
P069,65,Female,Master's,Television,75,4,$50k-$75k,4.4,5.1
P070,21,Female,Bachelor's,Online News Sites,145,3,Over $100k,1.2,1
P071,41,Female,Some College,YouTube,57,5,$50k-$75k,2.8,2.4
P072,66,Male,Master's,Instagram,54,7,$25k-$50k,3.7,3.6
P073,22,Female,Bachelor's,Television,66,3,$50k-$75k,2.4,2.9
P074,51,Female,Some College,Twitter,158,1,Over $100k,4.6,4.1
P075,46,Prefer not to say,High School,Television,137,4,$75k-$100k,2.3,3.2
