participant_id,platform_type,weekly_hours,trust_level,age_group,education_level
P001,TV News,12.8,5,45-59,College
P001,Social Media,12.8,5,45-59,College
P001,Print Media,0.6,2,45-59,College
P001,Podcasts,10,3,45-59,College
P002,TV News,2.1,3,45-59,Graduate
P002,Social Media,2.6,3,45-59,Graduate
P002,Print Media,11.1,3,45-59,Graduate
P002,Podcasts,3.7,5,45-59,Graduate
P003,TV News,3,1,30-44,College
P003,Social Media,1.7,4,30-44,College
P003,Print Media,0.6,1,30-44,College
P003,Podcasts,9.1,7,30-44,College
P004,TV News,1.9,1,18-29,High School
P004,Social Media,5.8,6,18-29,High School
P004,Print Media,7.6,3,18-29,High School
P004,Podcasts,3.4,3,18-29,High School
P005,TV News,0.7,1,18-29,Graduate
P005,Social Media,9.5,6,18-29,Graduate
P005,Print Media,12.9,1,18-29,Graduate
P005,Podcasts,6.9,6,18-29,Graduate
P006,TV News,1.6,6,18-29,High School
P006,Social Media,1,2,18-29,High School
P006,Print Media,3.5,1,18-29,High School
P006,Podcasts,1.3,7,18-29,High School
P007,TV News,4.4,3,18-29,College
P007,Social Media,15,1,18-29,College
P007,Print Media,9,3,18-29,College
P007,Podcasts,5.8,6,18-29,College
P008,TV News,13,4,18-29,Graduate
P008,Social Media,5.7,3,18-29,Graduate
P008,Print Media,3.6,7,18-29,Graduate
P008,Podcasts,14.5,4,18-29,Graduate
P009,TV News,9.4,2,45-59,College
P009,Social Media,14.8,3,45-59,College
P009,Print Media,3.5,3,45-59,College
P009,Podcasts,1.9,2,45-59,College
P010,TV News,3.9,6,45-59,College
P010,Social Media,10.1,4,45-59,College
P010,Print Media,7.8,2,45-59,College
P010,Podcasts,12.9,2,45-59,College
P011,TV News,9,1,30-44,Graduate
P011,Social Media,3.7,5,30-44,Graduate
P011,Print Media,8.4,7,30-44,Graduate
P011,Podcasts,5.8,3,30-44,Graduate
P012,TV News,0.5,6,18-29,Graduate
P012,Social Media,4.5,4,18-29,Graduate
P012,Print Media,2.2,2,18-29,Graduate
P012,Podcasts,10.1,1,18-29,Graduate
P013,TV News,1.2,4,18-29,College
P013,Social Media,1.6,1,18-29,College
P013,Print Media,4.3,2,18-29,College
P013,Podcasts,8.6,2,18-29,College
P014,TV News,6.2,1,60+,College
P014,Social Media,11.8,6,60+,College
P014,Print Media,2.9,4,60+,College
P014,Podcasts,9.9,7,60+,College
P015,TV News,2.4,1,60+,College
P015,Social Media,10.2,6,60+,College
P015,Print Media,4.6,6,60+,College
P015,Podcasts,10.2,4,60+,College
P016,TV News,8.4,3,30-44,High School
P016,Social Media,4.9,5,30-44,High School
P016,Print Media,10.7,6,30-44,High School
P016,Podcasts,9.6,3,30-44,High School
P017,TV News,11.9,3,18-29,Graduate
P017,Social Media,5.1,7,18-29,Graduate
P017,Print Media,7.5,2,18-29,Graduate
P017,Podcasts,9.7,3,18-29,Graduate
P018,TV News,3.4,5,45-59,College
P018,Social Media,0.4,1,45-59,College
P018,Print Media,7.9,7,45-59,College
P018,Podcasts,12.1,1,45-59,College
P019,TV News,0.8,4,18-29,High School
P019,Social Media,4.9,3,18-29,High School
P019,Print Media,13.1,6,18-29,High School
P019,Podcasts,12.7,6,18-29,High School
P020,TV News,7.2,1,18-29,Graduate
P020,Social Media,12.6,4,18-29,Graduate
P020,Print Media,3.4,2,18-29,Graduate
P020,Podcasts,9.6,5,18-29,Graduate
P021,TV News,5.9,5,45-59,Graduate
P021,Social Media,7.4,4,45-59,Graduate
P021,Print Media,3.8,5,45-59,Graduate
P021,Podcasts,1.5,4,45-59,Graduate
P022,TV News,11.4,6,30-44,High School
P022,Social Media,5.4,1,30-44,High School
P022,Print Media,3.3,1,30-44,High School
P022,Podcasts,6.4,4,30-44,High School
P023,TV News,10.9,5,18-29,High School
P023,Social Media,7.8,4,18-29,High School
P023,Print Media,6.7,3,18-29,High School
P023,Podcasts,8,2,18-29,High School
P024,TV News,7.8,3,30-44,High School
P024,Social Media,6.6,6,30-44,High School
P024,Print Media,4.1,2,30-44,High School
P024,Podcasts,11.7,2,30-44,High School
P025,TV News,11.8,6,18-29,Graduate
P025,Social Media,14.6,6,18-29,Graduate
P025,Print Media,0.7,3,18-29,Graduate
P025,Podcasts,3.6,7,18-29,Graduate
P026,TV News,3.3,3,30-44,College
P026,Social Media,12.2,1,30-44,College
P026,Print Media,12.8,7,30-44,College
P026,Podcasts,7.9,5,30-44,College
P027,TV News,10.7,7,45-59,High School
P027,Social Media,13.5,1,45-59,High School
P027,Print Media,14.7,5,45-59,High School
P027,Podcasts,2.6,2,45-59,High School
P028,TV News,14.2,3,30-44,College
P028,Social Media,10.8,4,30-44,College
P028,Print Media,11.5,4,30-44,College
P028,Podcasts,11.1,6,30-44,College
P029,TV News,2.9,7,45-59,Graduate
P029,Social Media,12.2,5,45-59,Graduate
P029,Print Media,4.1,6,45-59,Graduate
P029,Podcasts,11,6,45-59,Graduate
P030,TV News,6.6,4,18-29,High School
P030,Social Media,8.5,6,18-29,High School
P030,Print Media,14.6,1,18-29,High School
P030,Podcasts,2.1,4,18-29,High School
P031,TV News,8.6,5,18-29,College
P031,Social Media,14.7,5,18-29,College
P031,Print Media,12.2,7,18-29,College
P031,Podcasts,0.7,4,18-29,College
P032,TV News,4,4,30-44,College
P032,Social Media,1.5,3,30-44,College
P032,Print Media,9.1,7,30-44,College
P032,Podcasts,10.1,2,30-44,College
P033,TV News,8.8,7,18-29,Graduate
P033,Social Media,0.2,2,18-29,Graduate
P033,Print Media,13.3,3,18-29,Graduate
P033,Podcasts,8.2,7,18-29,Graduate
P034,TV News,9.8,4,18-29,College
P034,Social Media,0.8,3,18-29,College
P034,Print Media,5.3,7,18-29,College
P034,Podcasts,7.8,6,18-29,College
P035,TV News,0.5,4,60+,High School
P035,Social Media,14.2,4,60+,High School
P035,Print Media,8.1,3,60+,High School
P035,Podcasts,8.1,7,60+,High School
P036,TV News,12.2,3,60+,High School
P036,Social Media,8.2,7,60+,High School
P036,Print Media,13,3,60+,High School
P036,Podcasts,6.6,6,60+,High School
P037,TV News,5,5,30-44,College
P037,Social Media,0.8,3,30-44,College
P037,Print Media,2,3,30-44,College
P037,Podcasts,3.5,1,30-44,College
P038,TV News,8.1,4,30-44,High School
P038,Social Media,9.9,6,30-44,High School
P038,Print Media,9.6,2,30-44,High School
P038,Podcasts,14.6,7,30-44,High School
P039,TV News,5.4,3,18-29,Graduate
P039,Social Media,12.8,7,18-29,Graduate
P039,Print Media,5.7,5,18-29,Graduate
P039,Podcasts,1,3,18-29,Graduate
P040,TV News,4.2,2,45-59,College
P040,Social Media,3.7,2,45-59,College
P040,Print Media,5.6,5,45-59,College
P040,Podcasts,14.7,1,45-59,College
P041,TV News,0.9,5,18-29,High School
P041,Social Media,0.6,7,18-29,High School
P041,Print Media,1.3,5,18-29,High School
P041,Podcasts,13.8,3,18-29,High School
P042,TV News,11.5,4,45-59,College
P042,Social Media,8.9,6,45-59,College
P042,Print Media,2.4,7,45-59,College
P042,Podcasts,8.8,4,45-59,College
P043,TV News,13.3,1,60+,College
P043,Social Media,12,5,60+,College
P043,Print Media,2.6,7,60+,College
P043,Podcasts,13.2,7,60+,College
P044,TV News,11.6,3,18-29,High School
P044,Social Media,8.3,3,18-29,High School
P044,Print Media,2.2,5,18-29,High School
P044,Podcasts,5.4,4,18-29,High School
P045,TV News,13.8,5,60+,High School
P045,Social Media,11.6,6,60+,High School
P045,Print Media,8.9,2,60+,High School
P045,Podcasts,1.7,6,60+,High School
P046,TV News,11.8,1,60+,Graduate
P046,Social Media,1.8,4,60+,Graduate
P046,Print Media,9.4,3,60+,Graduate
P046,Podcasts,1.3,1,60+,Graduate
P047,TV News,7,3,30-44,High School
P047,Social Media,1.5,2,30-44,High School
P047,Print Media,3.9,6,30-44,High School
P047,Podcasts,1.4,1,30-44,High School
P048,TV News,4.8,6,45-59,Graduate
P048,Social Media,13.3,2,45-59,Graduate
P048,Print Media,8.6,1,45-59,Graduate
P048,Podcasts,3.2,7,45-59,Graduate
P049,TV News,13.9,7,18-29,College
P049,Social Media,14,2,18-29,College
P049,Print Media,8.8,7,18-29,College
P049,Podcasts,1.1,6,18-29,College
P050,TV News,14.3,3,30-44,High School
P050,Social Media,0.6,6,30-44,High School
P050,Print Media,10.1,6,30-44,High School
P050,Podcasts,7,6,30-44,High School
P051,TV News,4.5,6,60+,Graduate
P051,Social Media,1.7,5,60+,Graduate
P051,Print Media,7.2,1,60+,Graduate
P051,Podcasts,6.2,7,60+,Graduate
P052,TV News,12,1,18-29,Graduate
P052,Social Media,12.1,1,18-29,Graduate
P052,Print Media,6.9,1,18-29,Graduate
P052,Podcasts,8.6,5,18-29,Graduate
P053,TV News,10.8,3,60+,Graduate
P053,Social Media,0.5,4,60+,Graduate
P053,Print Media,12.5,2,60+,Graduate
P053,Podcasts,2.3,3,60+,Graduate
P054,TV News,2,7,45-59,College
P054,Social Media,3.8,1,45-59,College
P054,Print Media,6.5,1,45-59,College
P054,Podcasts,4.4,3,45-59,College
P055,TV News,10.7,6,60+,Graduate
P055,Social Media,3.8,1,60+,Graduate
P055,Print Media,1,1,60+,Graduate
P055,Podcasts,0.3,7,60+,Graduate
P056,TV News,14.7,7,60+,High School
P056,Social Media,13.6,2,60+,High School
P056,Print Media,9,4,60+,High School
P056,Podcasts,5.9,3,60+,High School
P057,TV News,3.9,2,45-59,College
P057,Social Media,2.9,5,45-59,College
P057,Print Media,14.6,1,45-59,College
P057,Podcasts,6.4,6,45-59,College
P058,TV News,10.4,6,60+,College
P058,Social Media,13.9,7,60+,College
P058,Print Media,13.3,2,60+,College
P058,Podcasts,6.6,6,60+,College
P059,TV News,2.4,6,30-44,Graduate
P059,Social Media,2.3,1,30-44,Graduate
P059,Print Media,10.1,3,30-44,Graduate
P059,Podcasts,0.1,2,30-44,Graduate
P060,TV News,7.5,4,30-44,High School
P060,Social Media,4.6,6,30-44,High School
P060,Print Media,6.6,7,30-44,High School
P060,Podcasts,6.1,3,30-44,High School
P061,TV News,10.8,5,60+,College
P061,Social Media,2.5,1,60+,College
P061,Print Media,13,3,60+,College
P061,Podcasts,3.1,7,60+,College
P062,TV News,4.6,7,60+,Graduate
P062,Social Media,8.7,3,60+,Graduate
P062,Print Media,6.6,1,60+,Graduate
P062,Podcasts,7.8,5,60+,Graduate
P063,TV News,12.2,5,60+,College
P063,Social Media,12,5,60+,College
P063,Print Media,4.3,3,60+,College
P063,Podcasts,5.6,4,60+,College
P064,TV News,10.4,4,30-44,High School
P064,Social Media,10.3,4,30-44,High School
P064,Print Media,0.1,3,30-44,High School
P064,Podcasts,3.7,1,30-44,High School
P065,TV News,2.5,7,60+,College
P065,Social Media,9.1,3,60+,College
P065,Print Media,3.6,4,60+,College
P065,Podcasts,14,4,60+,College
P066,TV News,8.7,6,45-59,Graduate
P066,Social Media,12.5,3,45-59,Graduate
P066,Print Media,2.9,7,45-59,Graduate
P066,Podcasts,11.4,4,45-59,Graduate
P067,TV News,1.5,2,45-59,College
P067,Social Media,4.2,2,45-59,College
P067,Print Media,12.6,6,45-59,College
P067,Podcasts,6.1,6,45-59,College
P068,TV News,14.8,7,18-29,Graduate
P068,Social Media,2.3,7,18-29,Graduate
P068,Print Media,14.2,4,18-29,Graduate
P068,Podcasts,9.5,5,18-29,Graduate
P069,TV News,4.9,3,60+,College
P069,Social Media,13,7,60+,College
P069,Print Media,3.4,2,60+,College
P069,Podcasts,1.1,4,60+,College
P070,TV News,12.4,5,18-29,College
P070,Social Media,13,5,18-29,College
P070,Print Media,11.7,6,18-29,College
P070,Podcasts,1.3,4,18-29,College
P071,TV News,7.8,1,30-44,College
P071,Social Media,6.7,4,30-44,College
P071,Print Media,1,7,30-44,College
P071,Podcasts,5.2,2,30-44,College
P072,TV News,0.5,3,60+,College
P072,Social Media,4.6,5,60+,College
P072,Print Media,4.1,4,60+,College
P072,Podcasts,2.2,5,60+,College
P073,TV News,8.7,1,45-59,College
P073,Social Media,4.2,6,45-59,College
P073,Print Media,13.2,7,45-59,College
P073,Podcasts,6.9,3,45-59,College
P074,TV News,10.4,2,45-59,Graduate
P074,Social Media,2.3,1,45-59,Graduate
P074,Print Media,9,2,45-59,Graduate
P074,Podcasts,8.3,5,45-59,Graduate
P075,TV News,4.6,4,60+,College
P075,Social Media,3.9,4,60+,College
P075,Print Media,5.6,4,60+,College
P075,Podcasts,0.2,1,60+,College
